ID,Apellidos,Nombre,Dirección,Población,Teléfono,Móvil,Email,Observaciones,Sexo,Fecha Nacimiento,Estado Civil,Personas dependientes ,Desempleado,Profesión,Nivel académico,Ingresos mensuales,Ahorros,Peso Kg,Altura,Cabello,Ojos,Fumador,Salud,Afición1,Afición2,Característica1,Característica2,Valora1,Valora2,Fobias,Sexualidad,Disponible
12,BERENGUERAS CULLERÉS,ADRIÀ,"PINTOR SERT , 12, 1R., 1A.",Medellín  ,937809812,###############################################################################################################################################################################################################################################################,barbilla@hotmail.com,,Hombre,23/09/1964,Soltero/a,1,VERDADERO,Comercial,Elementales,"$300,000.00",34300,92,1.6,Calvo,Marrones,VERDADERO,Regular,Música,Lectura,Buen Humor,Romanticismo,Ternura,Romanticismo,,Heterosexual,VERDADERO
13, GARCIA UCEDA,GERARD,"BELLAVISTA , 30",Medellín  ,###############################################################################################################################################################################################################################################################,,besugo@minorisa.es,,Hombre,13/01/1966,Divorciado/a,3,FALSO,Comercial,EGB,"$4,000,000.00",,66,1.87,Negro,Otro,FALSO,Buena,Caminar,Deporte,Ternura,Realismo,Romanticismo,Sencillez,La gente gorda,Bisexual,VERDADERO
14,ARNAU MORENO,ELIOT,"MONTURIOL , 10, 1R.",Bogotá ,###############################################################################################################################################################################################################################################################,,bogart@terra.es,,Hombre,02/09/1957,Soltero/a,3,FALSO,Asesor/a fiscal,Elementales,"$3,100,000.00",,53,1.82,Negro,Negros,FALSO,Buena,Lectura,Cine,Ternura,Serenidad,Sinceridad,Buen Humor,,Homosexual,VERDADERO
15,RAYA GAVILAN,JORDI,"JACINT VERDAGUER , 52, 2N., 4A.",Barranquilla,938754554,,bond@terra.es,,Hombre,18/07/1969,Casado/a,0,FALSO,Arquitecto/a,Licenciado/a,"$1,000,000.00",,101,1.6,Castaño,Otro,FALSO,Regular,TV,Cine,Sinceridad,Romanticismo,Alegría,Buen Humor,,Bisexual,FALSO
16,ZAMBUDIO FIGULS,LLUÍS,"CASA NOVA , ",Bogotá ,936875544,###############################################################################################################################################################################################################################################################,,,Hombre,30/01/1969,Soltero/a,5,VERDADERO,,EGB,"$1,100,000.00",113600,104,1.67,Rubio,Verdes,FALSO,Regular,Cine,Música,Inteligencia,Sencillez,Inteligencia,Sinceridad,,No declarada,VERDADERO
17,BIDAULT CULLERÉS,LAURA,"DE LA CAÇA , 12, 1R., C",Cali  ,935880712,###############################################################################################################################################################################################################################################################,cabeza larga@cataloniamail.com,,Mujer,02/04/1967,Casado/a,3,VERDADERO,Contable,Licenciado/a,"$500,000.00",10900,74,1.87,Pelirrojo,Negros,VERDADERO,Buena,Lectura,TV,Buen Humor,Sencillez,Sinceridad,Inteligencia,,Bisexual,VERDADERO
18,BIOSCA FONTANET,JORDI,"PINTOR SERT , 12, 2N., 1A.",Cali  ,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,,Hombre,03/09/1958,Otros,0,FALSO,Camarero/a,EGB,"$600,000.00",,107,1.75,Calvo,Azules,FALSO,Buena,Cine,TV,Sencillez,Ternura,Buen Humor,Realismo,,Homosexual,VERDADERO
19,ZAFRA FIGULS,DOUNYA,"CASA SARA , ",Bogotá ,###############################################################################################################################################################################################################################################################,,,,Mujer,31/05/1966,Separado/a,3,VERDADERO,,EGB,"$4,000,000.00",91400,107,1.73,Otros,Marrones,VERDADERO,Regular,Música,Caminar,Fortaleza,Romanticismo,Alegría,Serenidad,La gente prepotente,No declarada,VERDADERO
20,ALEU ICART,JULIO,"ARTÈS , 1, 1R, 1A.",Bogotá ,###############################################################################################################################################################################################################################################################,,cangur@intercom.es,,Hombre,21/09/1967,Otros,3,VERDADERO,Recepcionista,Elementales,"$1,100,000.00",102800,79,1.86,Castaño,Azules,FALSO,Excelente,Música,Lectura,Fortaleza,Ternura,Sinceridad,Sencillez,,No declarada,FALSO
21,BADIA TORNÉ,ANDREU,"GENERAL PRIM , 11, 2N.",Barranquilla,938200022,,,,Hombre,23/02/1963,Separado/a,3,FALSO,Recepcionista,Diplomado/a,$0.00,,106,1.79,Rubio,Verdes,FALSO,Regular,Lectura,Caminar,Sinceridad,Romanticismo,Romanticismo,Sencillez,,Heterosexual,VERDADERO
22,MORALES GESE,RAMON,"CAU DE LA GUINEU , 4",Bogotá ,936512545,,,,Hombre,26/01/1958,Casado/a,0,FALSO,Abogado/a,EGB,"$1,100,000.00",,70,1.81,Calvo,Verdes,FALSO,Buena,Lectura,Deporte,Inteligencia,Buen Humor,Alegría,Sinceridad,,Heterosexual,VERDADERO
23,BLANCO FONTANET,DAVID-JESE,"JOAN SANMARTÍ , 12, 2N., 2A.",Barranquilla,937785655,###############################################################################################################################################################################################################################################################,caparranas@altecom.es,,Hombre,23/09/1960,Otros,3,FALSO,,Elementales,"$500,000.00",,61,1.57,Negro,Azules,FALSO,Buena,Deporte,Lectura,Fortaleza,Romanticismo,Fortaleza,Buen Humor,,Bisexual,VERDADERO
24,ALVAREZ FERNÁNDEZ,ARAN,"PROL. PADRÓ , 1, 3R. 1A.",Bogotá ,938300385,###############################################################################################################################################################################################################################################################,,,Hombre,27/09/1964,Soltero/a,2,FALSO,Taxista,Elementales,"$1,400,000.00",,85,1.64,Castaño,Marrones,VERDADERO,Buena,Deporte,Cine,Fortaleza,Ternura,Serenidad,Ternura,,Homosexual,VERDADERO
25,GARCIA ALMOGUERA,GEMMA,"SALLENT , 22, 2N.",Bogotá ,936520471,###############################################################################################################################################################################################################################################################,,,Mujer,22/03/1962,Soltero/a,1,FALSO,,Bachillerato,"$1,300,000.00",,75,1.69,Pelirrojo,Azules,FALSO,Regular,TV,TV,Realismo,Fortaleza,Sinceridad,Sencillez,Los políticos,Bisexual,FALSO
26,LIBORI FIGUERAS,IVAN,"JOAN MIRÓ , 3",Bogotá ,936012445,###############################################################################################################################################################################################################################################################,carretero@intercom.es,,Hombre,23/07/1965,Divorciado/a,2,FALSO,,EGB,"$3,000,000.00",,88,1.56,Otros,Otro,VERDADERO,Buena,Caminar,Cine,Ternura,Sinceridad,Buen Humor,Ternura,,No declarada,VERDADERO
27,BIDAULT PUEYO,DAVID,"LLUÍS CASTELLS , 12, 2N.",Cali  ,934500611,,cela@altecom.es,,Hombre,13/05/1969,Divorciado/a,0,VERDADERO,Oficial,EGB,"$500,000.00",120300,102,1.57,Rubio,Otro,FALSO,Regular,Caminar,Deporte,Realismo,Ternura,Alegría,Fortaleza,,Bisexual,VERDADERO
28,BENITEZ JOSE,XAVIER,"SANT VALENTÍ , 12, 1R.",Cali  ,###############################################################################################################################################################################################################################################################,,coco@hotmail.com,,Hombre,17/05/1966,Divorciado/a,0,FALSO,Asesor/a fiscal,Elementales,"$1,100,000.00",,69,1.73,Rubio,Azules,VERDADERO,Regular,Deporte,#N/A,Alegría,Sinceridad,Sinceridad,Ternura,Viajar en avión,Heterosexual,FALSO
29,PASCUAL FLORES,MARIO,"ÀNGEL GUIMERÀ , 43, 2N",Bogotá ,###############################################################################################################################################################################################################################################################,,conejo@minorisa.es,,Hombre,02/08/1959,Separado/a,1,FALSO,,Elementales,"$900,000.00",,73,1.75,Castaño,Verdes,FALSO,Fatal,Música,Deporte,Realismo,Alegría,Realismo,Sinceridad,,Heterosexual,VERDADERO
30,AYALA TORNÉ,JESUS,"JAUME GALOBART , 11",Bogotá ,938202200,,corcel@altecom.es,,Hombre,04/01/1959,Separado/a,0,FALSO,Dependiente/a,FP,$0.00,,71,1.82,Negro,Marrones,FALSO,Regular,TV,Caminar,Alegría,Sinceridad,Ternura,Sinceridad,,Homosexual,VERDADERO
31,LISTAN FIGUERAS,GEMMA,"AVINGUDA TRES , 3, 1R., 1A.",Barranquilla,939965585,,,,Mujer,29/11/1968,Divorciado/a,1,FALSO,Arquitecto/a,FP,"$800,000.00",,77,1.81,Negro,Negros,FALSO,Buena,TV,Cine,Realismo,Serenidad,Sinceridad,Inteligencia,,Homosexual,VERDADERO
32,RASERO GAVILAN,SILVIA,"JACINT VERDAGUER , 52, 2N., 1A.",Bogotá ,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,curie@minorisa.es,,Mujer,14/06/1964,Soltero/a,4,FALSO,,Elementales,$0.00,,104,1.62,Negro,Marrones,FALSO,Buena,Deporte,Cine,Inteligencia,Ternura,Inteligencia,Fortaleza,Los huevos fritos,No declarada,VERDADERO
33,ARNALOT PUIG,ALBERT,"DIPUTACIÓ , 10",Bogotá ,938204054,###############################################################################################################################################################################################################################################################,dalí@wandoo.es,,Hombre,20/06/1969,Soltero/a,2,FALSO,Profesor/a,Doctor/a,"$1,200,000.00",,59,1.71,Pelirrojo,Verdes,VERDADERO,Buena,Lectura,Cine,Sencillez,Ternura,Sinceridad,Buen Humor,,Bisexual,FALSO
34,MOLINER GARRIDO,MARIA,"VIC , 39, 1R., 2A.",Cali  ,###############################################################################################################################################################################################################################################################,,,,Mujer,21/11/1966,Casado/a,2,VERDADERO,Camarero/a,EGB,"$2,400,000.00",15100,106,1.73,Pelirrojo,Azules,FALSO,Buena,Deporte,Caminar,Ternura,Buen Humor,Fortaleza,Sinceridad,Barcelona,Heterosexual,FALSO
35,GALOBART GARCIA,BERTA,"GERMAN DURAN , 21",Cali  ,###############################################################################################################################################################################################################################################################,,dolça@cidet.com,,Mujer,17/05/1959,Separado/a,5,FALSO,Contable,FP,"$1,200,000.00",,58,1.71,Pelirrojo,Negros,VERDADERO,Regular,Deporte,Caminar,Sinceridad,Buen Humor,Realismo,Serenidad,,Bisexual,FALSO
36,LÓPEZ GARRIGASSAIT,BERTA,"BELLAVISTA , 30",Bogotá ,###############################################################################################################################################################################################################################################################,,dorada@intercom.es,,Mujer,11/07/1965,Otros,4,FALSO,Administrativo/a,EGB,"$1,400,000.00",,80,1.9,Otros,Verdes,FALSO,Regular,TV,Caminar,Buen Humor,Realismo,Inteligencia,Alegría,Los coches,Bisexual,VERDADERO
37,SÁNCHEZ GÓMEZ,MIREIA,"NOU , 7, 2N.",Bogotá ,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,elisa@altecom.es,,Mujer,09/12/1962,Soltero/a,3,FALSO,Administrativo/a,Elementales,"$1,200,000.00",,66,1.87,Rubio,Otro,VERDADERO,Excelente,Deporte,TV,Fortaleza,Sinceridad,Ternura,Realismo,Los políticos,Homosexual,VERDADERO
38,ALAVEDRA SUNYÉ,GEMMA,"MANELIC , 1",Barranquilla,938773941,###############################################################################################################################################################################################################################################################,encarna@hotmail.com,,Mujer,22/03/1966,Casado/a,2,FALSO,Dependiente/a,Elementales,"$1,000,000.00",,66,1.89,Otros,Negros,FALSO,Regular,Lectura,Deporte,Fortaleza,Inteligencia,Sinceridad,Fortaleza,,No declarada,FALSO
39,ALIGUÉ BONVEHÍ,MARIA ISABEL,"DE LA PESCA , 1, 1R., 1A.",Bogotá ,938305295,,entesa@altecom.es,,Mujer,22/02/1967,Casado/a,4,VERDADERO,Asesor/a fiscal,Bachillerato,$0.00,62600,68,1.83,Pelirrojo,Otro,FALSO,Buena,Lectura,Cine,Buen Humor,Serenidad,Inteligencia,Fortaleza,,Bisexual,FALSO
40,MAS FRANCH,TONI,"PIRINEUS , 34",Bogotá ,936524446,###############################################################################################################################################################################################################################################################,,,Hombre,24/07/1969,Divorciado/a,2,VERDADERO,,EGB,$0.00,54700,54,1.59,Otros,Marrones,FALSO,Regular,TV,Música,Ternura,Sinceridad,Serenidad,Realismo,,No declarada,VERDADERO
41,ALOY COMPTE,ALEJANDRO,"PROL. JACINT VERDAGUER , 1, 2N., 2A.",Medellín  ,###############################################################################################################################################################################################################################################################,,,,Hombre,23/08/1958,Divorciado/a,5,FALSO,,FP,"$1,400,000.00",,78,1.78,Negro,Otro,FALSO,Regular,Cine,TV,Fortaleza,Realismo,Sencillez,Serenidad,,Bisexual,VERDADERO
42,ASENSIO VEGA,JOAN MARTÍ,"MALLORCA , 11",Bogotá ,###############################################################################################################################################################################################################################################################,,et@altecom.es,,Hombre,16/12/1957,Otros,4,FALSO,Taxista,Bachillerato,"$1,300,000.00",,91,1.72,Rubio,Negros,VERDADERO,Regular,Música,Música,Buen Humor,Serenidad,Realismo,Serenidad,,Bisexual,VERDADERO
43,BIDAULT PÉREZ,INGRID,"SANT BENET , 12, 2N.",Bogotá ,###############################################################################################################################################################################################################################################################,,,,Mujer,20/03/1967,Casado/a,3,FALSO,,Licenciado/a,"$1,200,000.00",,53,1.89,Castaño,Marrones,FALSO,Buena,Caminar,Lectura,Romanticismo,Alegría,Fortaleza,Inteligencia,,Heterosexual,FALSO
44,ALOY CODINACHS,OLIVER,"PROL. PADRÓ , 1, 2N., 2A.",Bogotá ,###############################################################################################################################################################################################################################################################,,,,Hombre,13/04/1959,Otros,1,FALSO,Representante,Licenciado/a,"$1,100,000.00",,79,1.66,Castaño,Negros,VERDADERO,Fatal,Deporte,Cine,Fortaleza,Serenidad,Romanticismo,Sinceridad,Los huevos fritos,No declarada,VERDADERO
45,ALTIMIRAS ARMENTEROS,SANDRA,"ARTÈS , 1, 2N., 2A.",Cali  ,938300422,,experta@wandoo.es,,Mujer,23/01/1960,Separado/a,3,FALSO,Camarero/a,EGB,"$1,100,000.00",,110,1.6,Calvo,Verdes,FALSO,Fatal,Deporte,Lectura,Ternura,Realismo,Romanticismo,Inteligencia,,Bisexual,VERDADERO
46,BELMONTE SÁNCHEZ,JORDI,"JOAN XXIII , 12, 1R, 2A.",Cali  ,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,f5@wandoo.es,,Hombre,16/07/1966,Otros,2,FALSO,Enfermero/a,Diplomado/a,"$1,500,000.00",,105,1.74,Castaño,Azules,FALSO,Regular,Música,Música,Alegría,Ternura,Sinceridad,Ternura,Barcelona,Homosexual,FALSO
47,BAJONA GARCIA,MARC,"BERTRAND I SERRA , 11, 3R.",Bogotá ,###############################################################################################################################################################################################################################################################,,,,Hombre,25/02/1968,Otros,0,FALSO,,Elementales,"$1,300,000.00",,60,1.7,Rubio,Verdes,FALSO,Buena,Música,Lectura,Ternura,Sinceridad,Serenidad,Realismo,Los niños,Homosexual,VERDADERO
48,AGUILAR RODRIGUEZ,JORDINA,"LA SARDANA , 1",Bogotá ,###############################################################################################################################################################################################################################################################,,,,Mujer,17/08/1962,Casado/a,1,FALSO,Contable,Bachillerato,"$6,000,000.00",,87,1.59,Calvo,Marrones,FALSO,Buena,TV,Música,Buen Humor,Fortaleza,Ternura,Inteligencia,Los coches,Heterosexual,FALSO
49,BARRIGA SOTO,MARIA JOSÉ,"GALILEU , 12",Cali  ,938320587,,fina@hotmail.com,,Mujer,16/07/1961,Otros,3,FALSO,,Elementales,"$1,100,000.00",,70,1.87,Otros,Negros,VERDADERO,Regular,Música,Caminar,Sinceridad,Realismo,Ternura,Inteligencia,,Homosexual,FALSO
50,AVILA MASJUAN,RAQUEL,"SANT VALENTÍ , 11",Cali  ,938203095,###############################################################################################################################################################################################################################################################,fuego@altecom.es,,Mujer,23/01/1964,Separado/a,5,FALSO,Comercial,Elementales,"$600,000.00",,70,1.78,Negro,Otro,FALSO,Regular,Lectura,#N/A,Sinceridad,Alegría,Sencillez,Sinceridad,,No declarada,VERDADERO
51,PARRAMON FLORES,ENRIC,"JOAN XXIII , 43",Bogotá ,934555455,,,,Hombre,29/08/1963,Otros,0,FALSO,Dependiente/a,EGB,"$1,000,000.00",,78,1.86,Castaño,Otro,VERDADERO,Regular,Lectura,Caminar,Fortaleza,Realismo,Alegría,Ternura,,Homosexual,VERDADERO
52,AGUILAR RAMOS,MARTA,"DE LA PAU , 1",Bogotá ,938208502,,garota@hotmail.com,,Mujer,19/02/1961,Separado/a,2,FALSO,Recepcionista,EGB,"$4,000,000.00",,62,1.65,Otros,Otro,FALSO,Buena,Caminar,Música,Sencillez,Romanticismo,Romanticismo,Sencillez,,Homosexual,FALSO
53,AYALA ALSINA,CARLA,"SANT ANTONI MARIA CLARET , 11",Bogotá ,938205245,,,,Mujer,20/04/1959,Casado/a,0,FALSO,Administrativo/a,EGB,"$800,000.00",,103,1.73,Otros,Verdes,VERDADERO,Buena,TV,Lectura,Inteligencia,Sinceridad,Fortaleza,Sencillez,,Heterosexual,FALSO
54,ALVAREZ TROYANO,MARIA NOELIA,"AVINGUDA TRES , 1, 3R., 1A.",Medellín  ,938300374,,gateta@cataloniamail.com,,Mujer,20/10/1964,Divorciado/a,3,FALSO,Enfermero/a,Bachillerato,"$1,200,000.00",,66,1.56,Rubio,Azules,FALSO,Buena,Caminar,TV,Buen Humor,Ternura,Buen Humor,Sinceridad,,Heterosexual,FALSO
55,ALINS GONZÁLEZ,CRISTINA,"PROL. PADRÓ , 1, 2N., 1A.",Bogotá ,938305576,###############################################################################################################################################################################################################################################################,,,Mujer,27/03/1960,Soltero/a,2,FALSO,,Bachillerato,"$1,200,000.00",,102,1.67,Negro,Azules,FALSO,Regular,Caminar,Música,Ternura,Buen Humor,Serenidad,Realismo,,Heterosexual,VERDADERO
56,ACUÑA TORT,CARLOS,"SANT JOAN , 0, C, 3R. A",Bogotá ,938208614,,groucho@intercom.es,,Hombre,09/09/1960,Divorciado/a,1,FALSO,,Licenciado/a,"$1,000,000.00",,79,1.82,Rubio,Negros,FALSO,Buena,Cine,Deporte,Buen Humor,Ternura,Serenidad,Realismo,Viajar en avión,Homosexual,VERDADERO
57,ALGUÉ TRANCHO,DAVID,"PROL. JACINT VERDAGUER , 1, 1R., 1A.",Cali  ,938770077,,harpo@hotmail.com,,Hombre,03/11/1966,Soltero/a,1,VERDADERO,Funcionario/a,Diplomado/a,"$3,000,000.00",62000,82,1.7,Castaño,Marrones,FALSO,Regular,Lectura,Música,Fortaleza,Alegría,Ternura,Alegría,Viajar en avión,Heterosexual,VERDADERO
58,BADIA CASTILLO,CRISTIAN,"JOAN XXIII , 11, 1R., 1A.",Cali  ,938200713,,hispa@cataloniamail.com,,Hombre,23/02/1960,Soltero/a,4,FALSO,Oficial,EGB,"$3,000,000.00",,103,1.7,Rubio,Marrones,VERDADERO,Regular,Música,Deporte,Realismo,Sencillez,Inteligencia,Sinceridad,,Heterosexual,VERDADERO
59,BENITEZ FLORES,JULIO ALBERTO,"LLUÍS CASTELLS , 12, 1R.",Bogotá ,938270685,###############################################################################################################################################################################################################################################################,,,Hombre,20/10/1962,Soltero/a,0,FALSO,Representante,EGB,"$3,000,000.00",,54,1.65,Negro,Negros,FALSO,Fatal,Caminar,Lectura,Sencillez,Realismo,Ternura,Alegría,,Bisexual,FALSO
60,TORRUELLA GARCIA,SERGI,"PADRÓ , 83",Barranquilla,936021048,,huevo@terra.es,,Hombre,26/05/1969,Casado/a,0,FALSO,Estudiante,Diplomado/a,"$4,000,000.00",,66,1.79,Negro,Verdes,VERDADERO,Buena,Lectura,Caminar,Inteligencia,Sinceridad,Serenidad,Fortaleza,,Bisexual,VERDADERO
61,ALBERICH RODRIGUEZ,ALEIX,"SANT ISCLE , 1",Bogotá ,938773933,###############################################################################################################################################################################################################################################################,james dean@intercom.es,,Hombre,12/05/1966,Divorciado/a,0,FALSO,,Doctor/a,"$500,000.00",,64,1.7,Calvo,Negros,FALSO,Buena,Caminar,TV,Realismo,Ternura,Buen Humor,Realismo,Los entierros,No declarada,VERDADERO
62,ARMENCOT PUIG,VERÒNICA,"MONTSERRAT , 10",Barranquilla,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,jéssica@hotmail.com,,Mujer,30/08/1960,Soltero/a,1,FALSO,Camarero/a,EGB,"$1,000,000.00",,104,1.84,Calvo,Azules,VERDADERO,Buena,Caminar,Música,Serenidad,Sencillez,Romanticismo,Sinceridad,Las ciudades,No declarada,VERDADERO
63,ALIGUÉ RIVERA,MARIONA,"PROL. JACINT VERDAGUER , 1, 1R., 2A.",Bogotá ,###############################################################################################################################################################################################################################################################,,,,Mujer,02/06/1962,Soltero/a,5,FALSO,Oficial,EGB,"$7,000,000.00",,48,1.81,Calvo,Azules,FALSO,Regular,Cine,#N/A,Fortaleza,Buen Humor,Fortaleza,Alegría,Los perros,Homosexual,VERDADERO
64,BARRIGA RIU,MARC,"TRABUCAIRES , 12",Barranquilla,###############################################################################################################################################################################################################################################################,,,,Hombre,02/08/1959,Divorciado/a,0,FALSO,Comercial,Bachillerato,"$1,400,000.00",,89,1.81,Rubio,Negros,FALSO,Buena,Deporte,Música,Alegría,Fortaleza,Sencillez,Realismo,,Homosexual,VERDADERO
65,PORTELLA GISPETS,GEMMA,"JACINT VERDAGUER , 49, 4T., 2A.",Bogotá ,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,,Mujer,06/09/1966,Soltero/a,4,VERDADERO,Diseñador/a,EGB,"$1,500,000.00",18100,98,1.56,Otros,Marrones,FALSO,Buena,Lectura,Cine,Sinceridad,Serenidad,Alegría,Sinceridad,,Heterosexual,VERDADERO
66,AGUILERA BAENA,RICARD,"MANELIC , 1",Bogotá ,###############################################################################################################################################################################################################################################################,,,,Hombre,20/02/1963,Otros,2,FALSO,,Diplomado/a,"$1,500,000.00",,82,1.74,Negro,Verdes,FALSO,Fatal,Caminar,TV,Buen Humor,Ternura,Sencillez,Realismo,,Heterosexual,FALSO
67,RODRIGUEZ GARCÍA,JUAN,"VERGE DE FÀTIMA , 6, BX., 2A.",Medellín,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,llus@hotmail.com,,Hombre,20/07/1962,Otros,5,FALSO,Dependiente/a,EGB,"$5,000,000.00",,94,1.6,Calvo,Otro,VERDADERO,Buena,Caminar,Música,Buen Humor,Sinceridad,Sinceridad,Fortaleza,,Heterosexual,FALSO
68,AGUILAR SUNYÉ,MARTA,"SANT JOAN , 0, D, 3R. A",Bogotá ,938208677,,,,Mujer,27/11/1960,Casado/a,3,FALSO,,Elementales,$0.00,,91,1.73,Calvo,Verdes,FALSO,Buena,Cine,Lectura,Sencillez,Serenidad,Buen Humor,Sencillez,Los hospitales,Heterosexual,VERDADERO
69,BARRIGA TARDÀ,NATÀLIA,"GALILEU , 12",Bogotá ,938325558,,madonna@wandoo.es,,Mujer,18/11/1959,Otros,3,FALSO,Delineante,Bachillerato,"$1,100,000.00",,95,1.86,Calvo,Otro,VERDADERO,Regular,TV,Lectura,Sencillez,Romanticismo,Realismo,Inteligencia,Los hospitales,No declarada,FALSO
70,BARCONS LARA,MARTA,"ESPORTS , 12",Bogotá ,938360281,,mata hari@intercom.es,,Mujer,25/10/1968,Otros,4,FALSO,Comercial,EGB,"$3,000,000.00",,110,1.88,Otros,Otro,FALSO,Regular,Música,Deporte,Fortaleza,Sencillez,Buen Humor,Fortaleza,,Heterosexual,VERDADERO
71,AGUILERA TATJÉ,LAURA,"JOSEP BOIXADERAS , 1",Bogotá ,938208380,###############################################################################################################################################################################################################################################################,melanie@minorisa.es,,Mujer,10/02/1963,Otros,4,FALSO,,EGB,"$700,000.00",,96,1.89,Castaño,Azules,FALSO,Regular,Caminar,Lectura,Fortaleza,Sencillez,Alegría,Fortaleza,,Homosexual,VERDADERO
